codigo,nombre,descripcion,precio,idcateg,imagen1,imagen2,imagen3,imagen4,imagen5
JOAX442,Orinoko,,"1,050.00",9,catalogo/joax442a.jpg,catalogo/joax442b.jpg,catalogo/joax442c.jpg,catalogo/joax442d.jpg,
JOAX443,Okuma,,"1,100.00",9,catalogo/joax443a.jpg,catalogo/joax443b.jpg,catalogo/joax443c.jpg,catalogo/joax443d.jpg,
JOAX444,Hiroshina,,"1,050.00",9,catalogo/joax444a.jpg,catalogo/joax444b.jpg,catalogo/joax444c.jpg,catalogo/joax444d.jpg,catalogo/joax444e.jpg
JOAX445,Oyuki,,"1,250.00",9,catalogo/joax445a.jpg,catalogo/joax445b.jpg,catalogo/joax445c.jpg,,
JOAX446,Akira,,"1,350.00",9,catalogo/joax446a.jpg,catalogo/joax446b.jpg,catalogo/joax446c.jpg,,
JOAX447,Amenrra,,"2,400.00",9,catalogo/joax447a.jpg,catalogo/joax447b.jpg,catalogo/joax447c.jpg,catalogo/joax447d.jpg,catalogo/joax447e.jpg
JOAX448,Kaira,,"2,400.00",9,catalogo/joax448a.jpg,catalogo/joax448b.jpg,catalogo/joax448c.jpg,,
JOAX449,Kamila,,"2,400.00",9,catalogo/joax449a.jpg,catalogo/joax449b.jpg,catalogo/joax449c.jpg,catalogo/joax449d.jpg,
JOAX450,Bakari,,"2,400.00",9,catalogo/joax450a.jpg,catalogo/joax450b.jpg,catalogo/joax450c.jpg,catalogo/joax450d.jpg,
JOAX451,Amenrra Pla,,"2,300.00",9,catalogo/joax451a.jpg,catalogo/joax451b.jpg,catalogo/joax451c.jpg,,
JOAX454,Bakari Pla,,"2,200.00",9,catalogo/joax454a.jpg,catalogo/joax454b.jpg,,,
OBN455,Doble Charola,,,9,catalogo/obn455a.jpg,catalogo/obn455b.jpg,catalogo/obn455c.jpg,,
OBN456,Madera,,,9,catalogo/obn456a.jpg,catalogo/obn456b.jpg,catalogo/obn456c.jpg,,
,,,,,,,,,
