school,sex,age,address,Mjob,guardian,studytime,failures,paid,internet,romantic,freetime,goout,absences
GP,M,15,U,services,father,2,0,no,yes,no,3,3,2
GP,M,15,U,services,father,1,0,no,yes,no,4,1,0
GP,F,16,U,other,father,2,1,no,yes,no,3,3,14
GP,F,15,U,other,mother,2,0,yes,yes,yes,2,2,8
GP,F,16,U,other,mother,2,0,no,yes,no,3,5,12
GP,M,16,U,health,mother,4,0,no,yes,no,2,2,4
GP,M,15,U,teacher,mother,2,0,yes,no,no,3,3,2
GP,F,15,U,services,father,2,1,no,yes,no,4,4,2
GP,F,16,U,services,mother,2,0,yes,yes,no,3,3,2
GP,F,15,U,health,mother,2,0,yes,yes,no,3,3,2
GP,M,15,U,health,father,1,1,no,no,no,5,5,6
GP,F,15,U,services,mother,1,0,yes,yes,no,3,4,0
GP,F,15,U,other,mother,1,0,yes,yes,no,3,4,6
GP,F,16,U,other,mother,2,0,yes,yes,yes,3,4,8
GP,F,15,U,services,mother,2,0,yes,yes,no,3,2,0
GP,M,15,U,teacher,mother,2,0,no,no,no,2,2,4
GP,M,15,U,other,father,2,0,no,yes,no,3,2,2
GP,F,16,U,services,mother,2,0,no,yes,no,2,3,2
GP,F,16,R,health,mother,2,0,no,no,no,4,4,6
GP,F,16,U,services,father,1,0,no,yes,yes,5,5,6
GP,F,16,U,other,father,2,0,no,yes,no,4,3,4
GP,F,16,U,teacher,mother,3,0,yes,yes,no,4,4,2
GP,F,15,U,services,father,2,0,no,yes,yes,4,4,0
GP,F,16,U,teacher,mother,2,0,no,yes,no,4,3,2
GP,M,15,U,other,mother,4,0,no,yes,yes,3,3,4
GP,F,16,U,services,mother,4,0,yes,yes,no,3,3,4
GP,F,15,R,health,mother,2,0,yes,yes,no,1,3,2
GP,F,15,R,other,father,4,0,no,yes,no,4,2,12
GP,M,16,U,other,father,4,0,yes,yes,no,3,2,0
GP,M,15,U,other,mother,4,0,no,yes,no,3,3,0
GP,F,15,R,other,mother,2,2,no,yes,yes,3,4,2
GP,M,16,U,other,mother,1,0,no,no,no,3,2,2
GP,F,16,U,other,mother,2,0,yes,yes,no,3,3,54
GP,M,15,U,teacher,mother,2,0,yes,yes,no,3,3,6
GP,M,15,U,teacher,mother,4,0,no,yes,no,4,3,8
GP,F,16,U,other,mother,4,0,yes,yes,yes,2,3,0
GP,M,17,U,other,mother,1,3,no,yes,no,5,1,2
GP,F,16,U,at_home,mother,2,0,no,yes,no,4,3,12
GP,M,15,U,other,father,1,0,yes,yes,yes,2,2,2
GP,M,15,U,other,mother,3,0,yes,yes,no,3,2,4
GP,F,15,U,services,mother,2,0,yes,yes,no,4,4,10
GP,M,15,U,services,mother,2,0,yes,yes,no,3,3,4
GP,F,15,U,other,father,2,0,no,yes,no,3,2,2
GP,F,15,U,services,father,2,2,yes,yes,yes,4,4,6
GP,F,16,U,at_home,mother,2,0,no,no,no,3,4,4
GP,F,15,U,other,mother,3,0,no,yes,no,3,3,4
GP,M,16,U,services,father,2,1,yes,yes,no,4,2,12
GP,M,16,U,teacher,mother,2,0,no,no,no,1,3,18
GP,F,16,U,other,mother,3,0,yes,yes,yes,3,3,0
GP,F,15,U,services,mother,1,0,yes,yes,no,5,5,4
GP,F,16,U,other,father,2,0,no,no,no,3,3,4
GP,F,16,U,teacher,mother,2,0,yes,yes,no,3,3,0
GP,M,15,U,services,mother,4,0,no,yes,no,3,4,6
GP,F,15,R,at_home,mother,4,1,yes,yes,no,1,2,2
GP,M,16,R,services,mother,1,0,no,yes,no,3,3,2
GP,F,16,U,other,mother,2,0,yes,no,yes,3,5,2
GP,F,16,U,other,mother,1,0,no,yes,no,3,4,6
GP,F,16,U,other,mother,3,0,yes,yes,no,3,5,0
GP,M,16,U,services,mother,1,0,yes,yes,no,5,5,14
GP,M,16,U,services,father,3,0,no,yes,yes,4,3,0
GP,M,15,U,services,mother,1,0,no,yes,no,3,3,4
GP,F,15,U,services,mother,2,0,yes,yes,no,3,5,26
GP,M,15,U,services,mother,2,0,yes,yes,no,4,4,0
GP,F,15,U,other,father,4,0,no,no,no,3,3,10
GP,F,15,U,other,mother,4,0,yes,yes,no,1,2,8
GP,M,16,U,services,father,3,0,no,yes,no,3,3,2
GP,M,15,R,other,father,4,0,yes,yes,yes,3,5,6
GP,F,16,U,health,mother,3,0,yes,yes,yes,4,5,4
GP,M,15,U,teacher,mother,1,0,no,yes,no,5,3,6
GP,F,16,R,services,father,3,1,no,yes,no,1,2,0
GP,F,16,U,at_home,mother,2,1,no,yes,no,1,2,6
GP,M,15,U,teacher,mother,1,0,no,yes,no,5,2,10
GP,M,15,R,health,mother,2,0,no,yes,yes,4,2,8
GP,M,16,U,teacher,father,2,0,no,yes,no,4,4,2
GP,M,15,U,other,father,2,0,no,no,no,4,3,2
GP,M,16,U,other,father,1,0,no,yes,no,4,2,0
GP,M,17,R,other,father,2,1,no,yes,no,2,4,20
GP,M,15,U,other,father,1,0,no,yes,no,4,3,6
GP,F,15,U,at_home,mother,2,0,no,yes,no,2,3,2
GP,M,15,U,services,father,4,0,yes,yes,no,5,4,6
GP,F,16,U,other,father,2,0,yes,yes,yes,2,2,2
GP,M,16,U,health,mother,1,0,no,yes,no,4,4,18
GP,F,16,U,other,mother,2,0,yes,yes,yes,4,4,0
GP,M,15,U,services,father,1,0,no,yes,no,5,5,0
GP,F,15,U,other,mother,2,0,no,yes,yes,3,2,0
GP,F,19,U,at_home,other,2,3,no,no,no,4,2,2
GP,M,18,R,services,mother,1,2,no,yes,no,3,3,0
GP,M,16,R,teacher,mother,1,0,yes,yes,no,5,5,8
GP,F,15,R,services,father,3,2,no,yes,yes,2,2,0
GP,F,15,U,at_home,mother,1,0,no,yes,yes,3,3,0
GP,F,17,U,other,father,1,0,no,yes,yes,4,4,12
GP,F,16,U,services,father,1,0,no,yes,no,2,1,16
GP,M,15,R,at_home,mother,2,0,no,no,yes,3,3,0
GP,F,15,U,services,mother,3,0,no,yes,yes,3,3,0
GP,M,17,R,at_home,mother,2,0,no,no,no,4,5,0
GP,F,16,U,other,other,1,2,no,yes,yes,3,2,0
GP,M,16,U,services,mother,2,1,no,no,yes,4,4,0
GP,F,15,U,teacher,mother,1,0,no,yes,no,3,2,0
GP,M,15,U,teacher,father,4,0,no,yes,no,2,2,0
GP,M,16,U,services,father,1,2,no,yes,no,3,3,8
GP,F,15,U,teacher,mother,3,0,yes,yes,no,2,2,2
GP,F,16,U,at_home,mother,1,0,no,yes,no,4,4,2
GP,M,17,U,other,mother,1,3,no,yes,no,4,5,0
GP,F,15,U,other,father,2,0,yes,yes,no,4,2,0
GP,F,15,U,health,father,2,3,no,yes,no,3,2,0
GP,F,15,U,at_home,mother,2,0,yes,yes,no,3,2,2
GP,M,16,U,teacher,mother,1,0,no,yes,yes,3,2,0
GP,M,15,U,services,mother,1,3,no,yes,no,5,5,0
GP,M,18,U,other,mother,1,3,no,yes,yes,3,5,0
GP,M,16,U,at_home,mother,1,1,no,no,yes,4,4,6
GP,F,15,R,services,other,3,2,yes,yes,yes,2,1,8
GP,M,19,U,services,mother,1,3,no,yes,yes,5,4,0
GP,F,17,U,other,mother,1,0,no,no,yes,2,1,0
GP,M,15,R,at_home,mother,2,0,yes,no,no,4,4,2
GP,M,17,R,other,mother,1,0,no,no,no,2,2,8
GP,F,18,R,at_home,mother,1,3,no,no,no,2,5,6
GP,M,16,R,at_home,mother,1,0,no,no,no,2,2,2
GP,M,16,U,other,father,2,1,yes,yes,yes,5,5,4
GP,M,17,R,at_home,mother,1,2,no,yes,yes,3,2,0
GP,M,15,R,other,mother,2,2,no,yes,yes,4,4,6
GP,M,16,U,other,mother,1,1,no,no,no,4,4,0
GP,M,17,U,at_home,father,1,0,no,yes,no,3,3,2
GP,M,17,R,other,mother,2,3,no,no,yes,3,5,0
GP,M,16,U,services,mother,1,1,no,no,no,5,2,16
GP,M,16,U,other,father,2,0,no,yes,no,3,5,4
GP,F,16,U,health,father,2,0,yes,yes,yes,2,3,0
GP,F,16,U,other,mother,2,0,yes,yes,no,1,5,0
GP,F,16,U,health,mother,2,0,yes,yes,yes,4,2,0
GP,M,16,U,other,father,1,2,no,yes,no,4,5,0
GP,M,16,U,other,mother,2,0,yes,yes,yes,3,2,2
GP,M,17,U,teacher,mother,2,0,yes,yes,no,4,4,0
GP,F,16,U,at_home,mother,2,3,no,yes,yes,3,5,0
GP,F,16,U,other,mother,2,0,yes,yes,no,4,5,4
GP,M,17,U,teacher,mother,2,0,yes,yes,no,4,4,4
GP,F,16,U,services,mother,2,0,yes,yes,no,4,4,2
GP,M,17,U,other,father,2,0,no,yes,no,3,4,4
GP,M,16,R,teacher,mother,1,0,no,yes,yes,3,3,10
GP,M,17,U,other,mother,2,0,no,yes,yes,2,3,4
GP,M,16,U,teacher,mother,2,0,yes,yes,no,4,3,10
GP,M,16,U,services,mother,2,0,yes,yes,yes,2,3,2
GP,F,17,U,services,father,2,0,no,no,no,4,2,0
GP,F,17,U,other,mother,2,0,no,yes,yes,3,3,56
GP,F,16,U,other,mother,2,0,yes,yes,no,2,2,14
GP,M,17,U,services,mother,2,0,no,yes,yes,3,4,12
GP,M,16,U,services,mother,1,0,yes,yes,yes,3,3,2
GP,M,16,U,other,mother,2,0,yes,yes,yes,2,3,0
GP,F,17,U,health,mother,2,0,no,yes,yes,3,3,6
GP,M,17,R,at_home,mother,2,0,no,no,no,1,3,4
GP,F,16,U,services,mother,2,0,no,yes,no,3,3,10
GP,F,17,U,at_home,mother,2,0,no,yes,no,3,3,0
GP,M,17,U,at_home,other,2,0,yes,yes,no,4,4,12
GP,M,16,R,services,mother,1,0,no,yes,no,3,2,8
GP,M,16,U,other,father,1,0,no,yes,no,3,3,0
GP,F,17,U,services,father,2,0,no,yes,yes,3,2,0
GP,M,17,U,services,mother,1,0,no,yes,no,2,3,4
GP,M,16,R,teacher,father,1,0,yes,yes,no,3,4,8
GP,F,17,U,services,mother,1,1,no,yes,no,2,4,24
GP,F,16,U,teacher,mother,2,0,yes,yes,no,5,2,0
GP,F,16,U,health,mother,2,0,no,yes,no,3,5,2
GP,F,16,U,other,mother,2,0,yes,no,no,4,3,6
GP,F,17,U,other,mother,2,0,yes,no,no,4,4,4
GP,F,17,R,other,mother,1,0,no,yes,no,3,2,18
GP,F,16,R,services,mother,4,0,yes,yes,no,3,5,6
GP,F,17,U,at_home,mother,3,1,yes,yes,yes,4,3,28
GP,F,16,U,services,mother,2,3,yes,yes,no,3,3,5
GP,F,16,U,teacher,mother,2,0,yes,yes,yes,3,2,10
GP,F,16,U,at_home,mother,1,0,yes,no,no,3,2,6
GP,F,17,R,teacher,mother,3,0,yes,yes,yes,4,2,6
GP,F,19,U,other,other,4,0,yes,yes,no,3,3,10
GP,M,17,U,services,mother,2,0,yes,yes,yes,3,5,13
GP,F,16,U,other,mother,2,0,yes,yes,no,3,4,0
GP,M,18,U,services,mother,2,1,yes,yes,no,4,4,15
GP,F,17,R,services,mother,1,0,yes,no,no,2,1,12
GP,F,17,U,other,mother,2,0,yes,yes,no,4,4,2
GP,F,17,U,other,mother,2,2,yes,yes,yes,4,5,22
GP,M,18,U,services,father,2,1,yes,yes,no,2,4,13
GP,F,17,U,at_home,father,1,0,yes,no,no,3,3,3
GP,F,17,U,at_home,mother,3,0,yes,yes,no,3,3,4
GP,F,17,R,at_home,mother,2,0,no,yes,no,2,5,2
GP,F,17,U,at_home,mother,3,1,no,no,yes,3,4,0
GP,F,16,U,services,mother,2,0,no,yes,no,3,1,2
GP,M,18,U,other,mother,2,0,yes,yes,no,3,3,0
GP,F,16,U,teacher,mother,3,0,no,yes,no,3,2,0
GP,F,18,R,other,mother,2,1,no,yes,yes,3,3,16
GP,F,17,U,other,mother,2,0,no,yes,no,3,4,10
GP,M,17,U,services,father,2,0,yes,yes,no,3,3,2
GP,M,18,U,at_home,mother,2,0,yes,yes,yes,3,2,14
GP,F,17,U,other,mother,3,0,no,yes,yes,2,3,10
GP,F,17,U,health,father,2,0,no,yes,yes,2,3,14
GP,M,17,R,other,father,2,0,yes,yes,no,5,2,4
GP,M,17,U,teacher,mother,2,0,no,yes,yes,5,5,14
GP,M,16,U,health,father,2,0,yes,yes,no,2,4,2
GP,M,16,U,other,mother,2,0,yes,yes,no,4,2,18
GP,M,16,U,at_home,mother,3,0,no,yes,yes,3,3,10
GP,M,17,U,other,father,2,0,yes,yes,yes,4,2,4
GP,F,16,U,other,mother,1,0,no,yes,yes,5,2,20
GP,F,17,R,at_home,mother,2,0,no,no,no,1,1,2
GP,M,18,U,other,father,2,1,no,yes,no,5,4,0
GP,M,17,U,health,mother,2,0,no,yes,yes,5,5,14
GP,M,17,R,teacher,mother,2,0,yes,yes,no,3,3,2
GP,M,16,U,teacher,mother,1,0,no,yes,no,4,5,0
GP,M,16,U,services,mother,1,0,no,yes,no,3,2,0
GP,F,18,U,other,other,3,0,yes,yes,yes,4,4,0
GP,M,16,U,other,mother,1,0,no,yes,no,3,3,6
GP,M,17,U,other,father,1,0,no,yes,no,2,2,4
GP,M,22,U,services,mother,1,3,no,yes,yes,4,5,16
GP,M,18,R,other,mother,2,1,no,yes,yes,3,3,8
GP,M,16,U,other,mother,1,0,yes,yes,no,3,2,0
GP,M,18,U,services,mother,1,1,no,yes,no,4,5,0
GP,M,16,U,at_home,other,2,0,no,yes,no,3,3,6
GP,M,18,U,services,mother,1,1,no,yes,no,2,5,4
GP,M,16,R,other,mother,1,0,no,no,no,3,2,0
GP,M,17,R,other,mother,1,0,no,yes,no,4,2,0
GP,M,17,U,health,mother,1,1,no,yes,no,4,4,2
GP,F,17,U,teacher,mother,4,0,yes,yes,no,2,3,6
GP,M,19,U,services,mother,2,0,no,yes,no,3,1,12
GP,M,18,U,other,mother,2,0,no,yes,no,2,4,8
GP,F,17,U,services,father,4,0,yes,yes,yes,4,1,0
GP,F,18,U,services,father,2,0,yes,yes,yes,1,2,21
GP,M,18,U,teacher,mother,2,0,yes,yes,no,3,2,2
GP,M,18,R,other,mother,3,0,no,no,no,3,2,1
GP,F,17,U,other,mother,3,0,no,no,no,2,3,4
GP,F,18,U,at_home,mother,3,0,yes,yes,yes,3,3,0
GP,M,18,R,other,mother,2,0,yes,yes,no,2,5,13
GP,M,17,U,services,mother,2,0,yes,yes,yes,4,4,2
GP,F,18,R,teacher,mother,2,0,yes,yes,no,3,4,8
GP,M,18,U,health,father,2,0,yes,yes,yes,4,5,10
GP,F,18,R,other,mother,2,0,no,yes,yes,3,5,0
GP,F,19,U,other,other,2,2,yes,yes,no,3,5,15
GP,F,18,U,other,father,4,0,yes,yes,yes,5,5,4
GP,F,18,U,other,mother,2,0,yes,no,no,4,3,2
GP,M,17,R,at_home,mother,2,0,yes,no,yes,5,2,2
GP,F,17,U,at_home,mother,2,0,yes,yes,yes,3,3,2
GP,F,17,U,services,mother,2,0,yes,yes,yes,4,4,6
GP,F,18,R,other,mother,2,0,no,yes,yes,1,1,75
GP,M,18,U,teacher,mother,1,0,yes,yes,no,2,4,22
GP,F,18,U,health,father,2,1,no,yes,yes,4,4,15
GP,M,18,U,teacher,mother,1,0,yes,yes,no,2,3,8
GP,M,17,U,services,mother,1,0,yes,yes,yes,5,4,30
GP,M,17,U,teacher,mother,1,1,no,yes,no,4,4,19
GP,F,18,R,at_home,mother,4,0,yes,no,no,2,2,1
GP,F,18,U,other,mother,2,0,no,yes,no,4,4,4
GP,F,17,U,other,mother,2,0,no,yes,no,4,5,4
GP,M,17,U,other,father,2,0,yes,yes,no,3,3,2
GP,F,18,U,at_home,mother,3,0,yes,yes,no,3,3,5
GP,F,17,U,services,mother,3,0,yes,yes,no,3,3,6
GP,M,18,U,services,mother,3,0,yes,yes,no,2,4,6
GP,M,18,U,teacher,mother,2,0,yes,yes,no,4,3,9
GP,M,18,U,teacher,mother,2,0,yes,yes,yes,3,2,11
GP,F,17,U,health,mother,3,0,yes,yes,no,2,2,0
GP,F,18,U,services,mother,2,1,no,yes,yes,4,3,12
GP,F,17,R,services,mother,4,0,yes,no,no,1,2,6
GP,M,18,R,services,mother,3,0,yes,yes,no,4,2,8
GP,M,17,U,health,mother,1,0,yes,yes,no,4,3,4
GP,F,19,U,health,other,2,0,yes,yes,no,3,4,0
GP,F,18,U,other,other,2,0,yes,yes,yes,4,5,10
GP,F,18,U,other,father,4,0,yes,yes,no,3,3,0
GP,M,18,U,teacher,mother,1,0,yes,yes,yes,4,2,5
GP,F,18,U,health,mother,2,0,no,yes,yes,2,4,14
GP,M,17,U,other,father,1,0,yes,yes,no,1,1,0
GP,F,17,U,other,mother,3,0,yes,yes,no,3,3,0
GP,F,17,U,health,father,4,0,yes,yes,no,2,2,0
GP,M,19,U,other,other,2,1,no,yes,yes,4,4,20
GP,F,18,U,services,other,2,1,yes,yes,no,4,3,8
GP,M,20,U,services,other,1,0,no,no,no,5,3,0
GP,M,19,U,teacher,other,1,1,yes,yes,yes,3,4,38
GP,M,19,R,other,father,2,1,no,no,yes,5,3,0
GP,F,19,U,at_home,other,2,1,no,yes,no,4,3,18
GP,F,19,U,services,other,2,1,no,no,yes,2,4,0
GP,F,19,U,at_home,other,2,0,no,yes,yes,4,1,20
GP,M,19,U,other,other,2,1,no,yes,no,5,2,3
GP,F,19,U,services,other,2,1,yes,yes,yes,2,2,22
GP,F,19,U,at_home,other,3,2,no,yes,yes,1,2,14
GP,F,19,R,other,other,3,1,no,yes,yes,1,2,40
GP,F,18,U,services,mother,2,0,yes,yes,no,3,3,0
GP,F,18,U,other,mother,3,0,yes,yes,yes,3,4,9
GP,F,17,R,at_home,father,3,0,yes,yes,no,3,4,0
GP,F,18,U,teacher,mother,2,0,yes,yes,no,4,4,2
GP,F,17,U,services,mother,2,0,yes,yes,yes,2,2,23
GP,F,17,U,other,mother,2,0,no,no,yes,2,2,12
GP,F,17,R,services,mother,3,0,yes,yes,no,3,2,3
GP,F,17,U,services,father,3,0,no,yes,no,4,3,1
GP,F,17,U,at_home,father,3,0,no,yes,no,3,3,0
GP,M,18,U,other,mother,3,0,no,yes,no,3,3,3
GP,M,17,U,other,mother,1,0,no,yes,no,3,5,3
GP,M,17,R,services,mother,1,0,no,yes,no,4,5,8
GP,F,17,U,teacher,mother,3,0,yes,yes,no,4,4,7
GP,F,17,U,teacher,mother,3,0,yes,yes,yes,3,3,4
GP,M,18,U,other,mother,4,0,no,yes,no,5,5,2
GP,F,17,R,at_home,father,3,0,no,yes,yes,4,3,7
GP,F,18,U,services,mother,2,0,no,yes,no,3,4,0
GP,F,18,U,other,other,2,0,no,yes,yes,3,3,0
GP,F,18,R,at_home,mother,4,0,no,no,no,4,4,0
GP,F,17,U,services,mother,3,0,no,yes,no,4,5,16
GP,F,19,R,services,other,3,1,yes,no,no,4,3,12
GP,F,17,U,other,mother,2,0,yes,yes,yes,3,2,0
GP,F,18,U,services,mother,4,0,no,yes,no,3,3,7
GP,F,17,R,other,mother,2,0,yes,yes,no,3,3,4
GP,F,19,U,services,other,3,1,yes,yes,yes,3,4,4
GP,M,18,U,teacher,father,2,1,no,yes,no,3,3,0
GP,M,18,U,services,mother,2,0,no,yes,yes,3,3,11
GP,F,17,U,at_home,father,2,1,no,yes,yes,3,1,0
GP,F,18,U,at_home,mother,3,0,no,yes,no,3,3,4
GP,F,18,U,other,mother,3,0,no,yes,yes,4,3,7
GP,M,18,R,teacher,mother,3,0,no,yes,yes,3,2,9
GP,M,18,U,teacher,mother,3,0,yes,yes,yes,4,5,0
GP,F,17,U,health,mother,3,0,yes,yes,yes,4,3,0
MS,M,18,R,other,mother,1,1,no,yes,no,5,5,10
MS,M,19,R,other,other,2,3,no,yes,no,4,4,8
MS,M,17,U,health,mother,2,0,yes,yes,no,5,4,2
MS,M,18,U,at_home,mother,1,1,no,yes,yes,3,3,7
MS,M,19,R,other,other,1,1,no,yes,no,4,4,4
MS,M,17,R,services,mother,2,0,yes,yes,yes,5,5,4
MS,F,18,U,services,father,2,0,no,no,yes,3,4,0
MS,F,17,R,teacher,father,2,0,yes,yes,no,3,3,4
MS,F,17,U,services,mother,2,0,no,no,yes,2,3,2
MS,M,18,U,other,father,1,0,no,yes,yes,3,2,4
MS,F,18,U,at_home,father,3,0,no,yes,no,3,2,0
MS,F,18,R,at_home,mother,2,0,no,no,yes,3,4,0
MS,M,18,R,at_home,mother,2,1,no,no,no,4,3,2
MS,F,18,U,services,mother,2,0,no,yes,yes,3,2,0
MS,F,17,U,at_home,mother,2,0,yes,yes,yes,3,4,0
MS,F,17,R,other,father,2,0,no,no,no,2,2,0
MS,M,18,R,at_home,mother,2,0,yes,no,no,3,4,4
MS,M,18,U,teacher,mother,3,0,yes,yes,yes,2,2,0
MS,F,17,R,other,mother,1,1,yes,yes,yes,2,1,0
MS,F,18,U,at_home,father,1,0,yes,yes,yes,2,3,0
MS,F,18,R,other,father,2,0,yes,yes,yes,2,2,10
MS,F,19,U,services,other,2,2,no,no,yes,2,2,4
MS,M,18,R,at_home,father,1,0,yes,yes,yes,3,3,3
MS,F,17,U,other,mother,3,0,no,no,yes,4,3,8
MS,F,17,R,other,mother,1,0,no,yes,no,5,5,14
MS,F,18,R,other,mother,3,0,no,yes,no,4,4,0
MS,F,18,R,other,mother,3,0,no,yes,no,3,2,2
MS,F,20,U,health,other,3,2,yes,yes,yes,4,3,4
MS,F,18,R,teacher,mother,2,0,yes,yes,no,4,3,4
MS,F,18,U,other,mother,2,0,yes,yes,yes,1,3,0
MS,F,17,R,at_home,mother,2,0,yes,yes,no,5,4,17
MS,M,18,U,teacher,father,2,0,yes,yes,no,2,4,4
MS,M,18,R,other,mother,1,0,no,yes,yes,4,3,5
MS,M,17,U,other,father,2,0,no,yes,no,4,3,2
MS,M,19,R,other,mother,1,1,no,no,no,3,2,0
MS,M,18,R,other,father,1,1,yes,no,no,4,3,14
MS,F,18,R,at_home,mother,3,0,yes,no,no,3,3,2
MS,F,18,R,teacher,mother,1,0,yes,yes,yes,4,3,7
MS,F,19,R,services,mother,3,1,no,yes,no,4,2,0
MS,F,18,U,teacher,mother,2,0,yes,yes,no,3,4,0
MS,F,18,U,other,mother,2,1,no,no,no,1,1,0
MS,M,20,U,services,other,2,2,yes,no,no,5,4,11
MS,M,17,U,services,mother,1,0,no,yes,no,4,5,3
MS,M,21,R,other,other,1,3,no,no,no,5,3,3
MS,M,18,R,services,mother,1,0,no,yes,no,4,1,0
MS,M,19,U,other,father,1,0,no,yes,no,2,3,5
